kommune_no,kommune_name,population,date,median_age,unemp_tot,unemp_immg,workers_ft_work,workers_pt_work,construction_ft_work,construction_pt_work,immigrants_total,marketplace,entertainment,sport,clinic,hairdresser,shops,place_of_worship,retail,nursing_home,restaurant,aerodrome,office,platform,kindergarten,schools,bakeries,residential,higher_education,idarea_1,idarea_2,area,pop_dens,urb_dens,sex
0301,Oslo,693494,2021-05-13,35,4.1,7.6,365503,86545,25724,1910,25.59,2,46,110,396,97,454,122,176,12,502,0,262,2122,326,243,53,47561,20,1,1,482.70403640676363,1436.6857280961465,98.53035486100936,0.4991881688954771
1101,Eigersund,14811,2021-05-13,40,2,6.7,3904,1679,570,47,11.01,0,0,0,10,0,12,8,0,0,3,0,0,25,14,11,0,593,0,2,2,1065.1525857821166,13.905050034802882,0.5567277476630956,0.5080008102086288
1103,Stavanger,143574,2021-05-13,37,3.1,6,62192,17479,3083,305,18.86,0,9,41,80,34,106,59,43,4,78,0,14,126,81,85,20,6879,4,3,3,781.5029866282069,183.71522880475445,8.802269623663797,0.5017273322467857
1106,Haugesund,37357,2021-05-13,40,2.5,5.5,14054,5291,844,90,15.21,0,4,8,23,0,28,7,13,0,13,0,3,16,27,22,0,224,3,4,4,366.3551611952014,101.96935639756263,0.6114285363667862,0.5119790133040661
1108,Sandnes,79537,2021-05-13,36,2.9,6.3,24779,8367,2717,305,18.16,0,6,20,43,7,48,26,21,0,29,0,2,93,45,44,4,4014,1,5,5,1133.8094373738288,70.1502363432664,3.5402774643483075,0.5092598413317072
1111,Sokndal,3280,2021-05-13,42,1.3,4.4,618,355,101,20,6.83,0,2,3,3,4,3,7,2,0,2,0,2,0,2,1,0,77,0,6,6,869.2007701416933,3.7735815621347286,0.0885871281354799,0.5039634146341463
1112,Lund,3202,2021-05-13,40,1.2,3.3,823,360,52,9,8.84,0,1,1,3,0,4,4,2,0,0,0,0,8,0,5,0,200,0,7,7,402.2905416874495,7.959421532927118,0.4971531251047544,0.5028107432854466
1114,Bjerkreim,2787,2021-05-13,37,1.3,5,517,281,111,20,9.15,0,0,1,1,0,3,2,0,0,0,0,0,0,1,2,0,13,0,8,8,640.1033343412893,4.3539845060610665,0.02030922087506059,0.5159669895945461
1119,Hå,18991,2021-05-13,35,2,5.7,4621,2072,1048,88,12.71,0,0,3,8,0,11,10,0,0,0,0,1,32,4,12,0,361,0,9,9,1059.3435059955782,17.92714062295792,0.3407770925642573,0.513927649939445
1120,Klepp,19588,2021-05-13,36,2.3,6.1,5487,1771,761,65,12.51,0,0,4,6,0,14,4,2,0,3,0,0,18,5,13,0,205,0,10,10,543.4368061409568,36.04466936845507,0.37722877376624914,0.513783949356749
