"region";"sex";"age";"Persons 2020"
"K-3001 Halden";"Males";"0-17 years";3197
"K-3001 Halden";"Males";"18-49 years";6444
"K-3001 Halden";"Males";"50-66 years";3593
"K-3001 Halden";"Males";"67-79 years";1973
"K-3001 Halden";"Males";"80-89 years";513
"K-3001 Halden";"Males";"90 years or older";86
"K-3001 Halden";"Females";"0-17 years";3023
"K-3001 Halden";"Females";"18-49 years";6014
"K-3001 Halden";"Females";"50-66 years";3517
"K-3001 Halden";"Females";"67-79 years";2101
"K-3001 Halden";"Females";"80-89 years";711
"K-3001 Halden";"Females";"90 years or older";201
"K-3002 Moss";"Males";"0-17 years";5011
"K-3002 Moss";"Males";"18-49 years";9940
"K-3002 Moss";"Males";"50-66 years";5598
"K-3002 Moss";"Males";"67-79 years";2978
"K-3002 Moss";"Males";"80-89 years";832
"K-3002 Moss";"Males";"90 years or older";125
"K-3002 Moss";"Females";"0-17 years";4790
"K-3002 Moss";"Females";"18-49 years";9400
"K-3002 Moss";"Females";"50-66 years";5761
"K-3002 Moss";"Females";"67-79 years";3439
"K-3002 Moss";"Females";"80-89 years";1133
"K-3002 Moss";"Females";"90 years or older";266
"K-3003 Sarpsborg";"Males";"0-17 years";6114
"K-3003 Sarpsborg";"Males";"18-49 years";11761
"K-3003 Sarpsborg";"Males";"50-66 years";6276
"K-3003 Sarpsborg";"Males";"67-79 years";3262
"K-3003 Sarpsborg";"Males";"80-89 years";862
"K-3003 Sarpsborg";"Males";"90 years or older";144
"K-3003 Sarpsborg";"Females";"0-17 years";5734
"K-3003 Sarpsborg";"Females";"18-49 years";11367
"K-3003 Sarpsborg";"Females";"50-66 years";6005
"K-3003 Sarpsborg";"Females";"67-79 years";3598
"K-3003 Sarpsborg";"Females";"80-89 years";1285
"K-3003 Sarpsborg";"Females";"90 years or older";324
"K-3004 Fredrikstad";"Males";"0-17 years";8549
"K-3004 Fredrikstad";"Males";"18-49 years";16785
"K-3004 Fredrikstad";"Males";"50-66 years";9512
"K-3004 Fredrikstad";"Males";"67-79 years";4734
"K-3004 Fredrikstad";"Males";"80-89 years";1290
"K-3004 Fredrikstad";"Males";"90 years or older";184
"K-3004 Fredrikstad";"Females";"0-17 years";8047
"K-3004 Fredrikstad";"Females";"18-49 years";16356
"K-3004 Fredrikstad";"Females";"50-66 years";9377
"K-3004 Fredrikstad";"Females";"67-79 years";5218
"K-3004 Fredrikstad";"Females";"80-89 years";1857
"K-3004 Fredrikstad";"Females";"90 years or older";476
"K-3005 Drammen";"Males";"0-17 years";10808
"K-3005 Drammen";"Males";"18-49 years";22207
"K-3005 Drammen";"Males";"50-66 years";10575
"K-3005 Drammen";"Males";"67-79 years";5289
"K-3005 Drammen";"Males";"80-89 years";1449
