"region";"sex";"age";"Persons 2020"
"K-3001 Halden";"Males";"0 years";134
"K-3001 Halden";"Males";"1 year";124
"K-3001 Halden";"Males";"2 years";169
"K-3001 Halden";"Males";"3 years";177
"K-3001 Halden";"Males";"4 years";157
"K-3001 Halden";"Males";"5 years";168
"K-3001 Halden";"Males";"6 years";186
"K-3001 Halden";"Males";"7 years";173
"K-3001 Halden";"Males";"8 years";169
"K-3001 Halden";"Males";"9 years";192
"K-3001 Halden";"Males";"10 years";175
"K-3001 Halden";"Males";"11 years";207
"K-3001 Halden";"Males";"12 years";170
"K-3001 Halden";"Males";"13 years";196
"K-3001 Halden";"Males";"14 years";199
"K-3001 Halden";"Males";"15 years";213
"K-3001 Halden";"Males";"16 years";189
"K-3001 Halden";"Males";"17 years";199
"K-3001 Halden";"Males";"18 years";226
"K-3001 Halden";"Males";"19 years";202
"K-3001 Halden";"Males";"20 years";205
"K-3001 Halden";"Males";"21 years";190
"K-3001 Halden";"Males";"22 years";206
"K-3001 Halden";"Males";"23 years";212
"K-3001 Halden";"Males";"24 years";207
"K-3001 Halden";"Males";"25 years";223
"K-3001 Halden";"Males";"26 years";200
"K-3001 Halden";"Males";"27 years";191
"K-3001 Halden";"Males";"28 years";200
"K-3001 Halden";"Males";"29 years";235
"K-3001 Halden";"Males";"30 years";202
"K-3001 Halden";"Males";"31 years";174
"K-3001 Halden";"Males";"32 years";172
"K-3001 Halden";"Males";"33 years";186
"K-3001 Halden";"Males";"34 years";198
"K-3001 Halden";"Males";"35 years";189
"K-3001 Halden";"Males";"36 years";172
"K-3001 Halden";"Males";"37 years";167
"K-3001 Halden";"Males";"38 years";165
"K-3001 Halden";"Males";"39 years";194
"K-3001 Halden";"Males";"40 years";190
"K-3001 Halden";"Males";"41 years";219
"K-3001 Halden";"Males";"42 years";211
"K-3001 Halden";"Males";"43 years";225
"K-3001 Halden";"Males";"44 years";186
"K-3001 Halden";"Males";"45 years";201
"K-3001 Halden";"Males";"46 years";208
"K-3001 Halden";"Males";"47 years";213
"K-3001 Halden";"Males";"48 years";246
"K-3001 Halden";"Males";"49 years";229
"K-3001 Halden";"Males";"50 years";210
"K-3001 Halden";"Males";"51 years";241
"K-3001 Halden";"Males";"52 years";238
"K-3001 Halden";"Males";"53 years";230
"K-3001 Halden";"Males";"54 years";253
"K-3001 Halden";"Males";"55 years";204
"K-3001 Halden";"Males";"56 years";212
"K-3001 Halden";"Males";"57 years";221
"K-3001 Halden";"Males";"58 years";208
"K-3001 Halden";"Males";"59 years";196
"K-3001 Halden";"Males";"60 years";181
"K-3001 Halden";"Males";"61 years";202
"K-3001 Halden";"Males";"62 years";186
"K-3001 Halden";"Males";"63 years";224
"K-3001 Halden";"Males";"64 years";191
"K-3001 Halden";"Males";"65 years";193
"K-3001 Halden";"Males";"66 years";203
"K-3001 Halden";"Males";"67 years";166
"K-3001 Halden";"Males";"68 years";166
"K-3001 Halden";"Males";"69 years";175
"K-3001 Halden";"Males";"70 years";191
"K-3001 Halden";"Males";"71 years";187
"K-3001 Halden";"Males";"72 years";210
"K-3001 Halden";"Males";"73 years";196
"K-3001 Halden";"Males";"74 years";148
"K-3001 Halden";"Males";"75 years";155
"K-3001 Halden";"Males";"76 years";112
"K-3001 Halden";"Males";"77 years";104
"K-3001 Halden";"Males";"78 years";77
"K-3001 Halden";"Males";"79 years";86
"K-3001 Halden";"Males";"80 years";79
"K-3001 Halden";"Males";"81 years";67
"K-3001 Halden";"Males";"82 years";57
"K-3001 Halden";"Males";"83 years";63
"K-3001 Halden";"Males";"84 years";50
"K-3001 Halden";"Males";"85 years";39
"K-3001 Halden";"Males";"86 years";52
"K-3001 Halden";"Males";"87 years";37
"K-3001 Halden";"Males";"88 years";33
"K-3001 Halden";"Males";"89 years";36
"K-3001 Halden";"Males";"90 years";21
"K-3001 Halden";"Males";"91 years";15
"K-3001 Halden";"Males";"92 years";13
"K-3001 Halden";"Males";"93 years";16
"K-3001 Halden";"Males";"94 years";8
"K-3001 Halden";"Males";"95 years";5
"K-3001 Halden";"Males";"96 years";3
"K-3001 Halden";"Males";"97 years";3
"K-3001 Halden";"Males";"98 years";0
"K-3001 Halden";"Males";"99 years";2
"K-3001 Halden";"Males";"100 years";0
"K-3001 Halden";"Males";"101 years";0
"K-3001 Halden";"Males";"102 years";0
"K-3001 Halden";"Males";"103 years";0
"K-3001 Halden";"Males";"104 years";0
"K-3001 Halden";"Males";"105 years or older";0
"K-3001 Halden";"Females";"0 years";122
"K-3001 Halden";"Females";"1 year";132
"K-3001 Halden";"Females";"2 years";153
"K-3001 Halden";"Females";"3 years";144
"K-3001 Halden";"Females";"4 years";163
"K-3001 Halden";"Females";"5 years";156
"K-3001 Halden";"Females";"6 years";164
"K-3001 Halden";"Females";"7 years";157
"K-3001 Halden";"Females";"8 years";172
"K-3001 Halden";"Females";"9 years";186
"K-3001 Halden";"Females";"10 years";196
"K-3001 Halden";"Females";"11 years";193
"K-3001 Halden";"Females";"12 years";214
"K-3001 Halden";"Females";"13 years";168
"K-3001 Halden";"Females";"14 years";148
"K-3001 Halden";"Females";"15 years";193
"K-3001 Halden";"Females";"16 years";184
"K-3001 Halden";"Females";"17 years";178
"K-3001 Halden";"Females";"18 years";166
"K-3001 Halden";"Females";"19 years";174
"K-3001 Halden";"Females";"20 years";183
"K-3001 Halden";"Females";"21 years";174
"K-3001 Halden";"Females";"22 years";183
"K-3001 Halden";"Females";"23 years";203
"K-3001 Halden";"Females";"24 years";173
"K-3001 Halden";"Females";"25 years";161
"K-3001 Halden";"Females";"26 years";161
"K-3001 Halden";"Females";"27 years";175
"K-3001 Halden";"Females";"28 years";180
"K-3001 Halden";"Females";"29 years";197
"K-3001 Halden";"Females";"30 years";178
"K-3001 Halden";"Females";"31 years";192
"K-3001 Halden";"Females";"32 years";174
"K-3001 Halden";"Females";"33 years";197
"K-3001 Halden";"Females";"34 years";176
"K-3001 Halden";"Females";"35 years";204
"K-3001 Halden";"Females";"36 years";159
"K-3001 Halden";"Females";"37 years";190
"K-3001 Halden";"Females";"38 years";186
"K-3001 Halden";"Females";"39 years";192
"K-3001 Halden";"Females";"40 years";183
"K-3001 Halden";"Females";"41 years";176
"K-3001 Halden";"Females";"42 years";197
"K-3001 Halden";"Females";"43 years";183
"K-3001 Halden";"Females";"44 years";212
"K-3001 Halden";"Females";"45 years";215
"K-3001 Halden";"Females";"46 years";207
"K-3001 Halden";"Females";"47 years";241
"K-3001 Halden";"Females";"48 years";210
"K-3001 Halden";"Females";"49 years";212
"K-3001 Halden";"Females";"50 years";219
"K-3001 Halden";"Females";"51 years";252
"K-3001 Halden";"Females";"52 years";221
"K-3001 Halden";"Females";"53 years";229
"K-3001 Halden";"Females";"54 years";230
"K-3001 Halden";"Females";"55 years";202
"K-3001 Halden";"Females";"56 years";196
"K-3001 Halden";"Females";"57 years";201
"K-3001 Halden";"Females";"58 years";186
"K-3001 Halden";"Females";"59 years";212
"K-3001 Halden";"Females";"60 years";214
"K-3001 Halden";"Females";"61 years";196
"K-3001 Halden";"Females";"62 years";192
"K-3001 Halden";"Females";"63 years";180
"K-3001 Halden";"Females";"64 years";206
"K-3001 Halden";"Females";"65 years";179
"K-3001 Halden";"Females";"66 years";202
"K-3001 Halden";"Females";"67 years";152
"K-3001 Halden";"Females";"68 years";195
"K-3001 Halden";"Females";"69 years";182
"K-3001 Halden";"Females";"70 years";179
"K-3001 Halden";"Females";"71 years";178
"K-3001 Halden";"Females";"72 years";213
"K-3001 Halden";"Females";"73 years";205
"K-3001 Halden";"Females";"74 years";193
"K-3001 Halden";"Females";"75 years";140
"K-3001 Halden";"Females";"76 years";133
"K-3001 Halden";"Females";"77 years";104
"K-3001 Halden";"Females";"78 years";117
"K-3001 Halden";"Females";"79 years";110
"K-3001 Halden";"Females";"80 years";104
"K-3001 Halden";"Females";"81 years";85
"K-3001 Halden";"Females";"82 years";76
"K-3001 Halden";"Females";"83 years";79
"K-3001 Halden";"Females";"84 years";78
"K-3001 Halden";"Females";"85 years";67
"K-3001 Halden";"Females";"86 years";50
"K-3001 Halden";"Females";"87 years";57
"K-3001 Halden";"Females";"88 years";71
"K-3001 Halden";"Females";"89 years";44
"K-3001 Halden";"Females";"90 years";37
"K-3001 Halden";"Females";"91 years";31
"K-3001 Halden";"Females";"92 years";29
"K-3001 Halden";"Females";"93 years";34
"K-3001 Halden";"Females";"94 years";16
"K-3001 Halden";"Females";"95 years";14
"K-3001 Halden";"Females";"96 years";11
"K-3001 Halden";"Females";"97 years";9
"K-3001 Halden";"Females";"98 years";12
"K-3001 Halden";"Females";"99 years";3
"K-3001 Halden";"Females";"100 years";2
"K-3001 Halden";"Females";"101 years";3
"K-3001 Halden";"Females";"102 years";0
"K-3001 Halden";"Females";"103 years";0
"K-3001 Halden";"Females";"104 years";0
"K-3001 Halden";"Females";"105 years or older";0
"K-3002 Moss";"Males";"0 years";216
