"region";"country background";"Unemployed persons in per cent of persons in total 2020K4"
"3001 Halden";"Total";2.7
"3001 Halden";"Immigrants";6.7
"3002 Moss";"Total";2.7
"3002 Moss";"Immigrants";6.4
"3003 Sarpsborg";"Total";3.0
"3003 Sarpsborg";"Immigrants";7.0
"3004 Fredrikstad";"Total";3.0
"3004 Fredrikstad";"Immigrants";7.6
"3005 Drammen";"Total";3.3
"3005 Drammen";"Immigrants";6.4
"3006 Kongsberg";"Total";2.2
"3006 Kongsberg";"Immigrants";5.1
"3007 Ringerike";"Total";2.1
"3007 Ringerike";"Immigrants";4.9
"3011 Hvaler";"Total";2.0
"3011 Hvaler";"Immigrants";3.1
"3012 Aremark";"Total";:
"3012 Aremark";"Immigrants";:
"3013 Marker";"Total";1.6
"3013 Marker";"Immigrants";3.7
"3014 Indre ?stfold";"Total";2.6
"3014 Indre ?stfold";"Immigrants";5.8
"3015 Skiptvet";"Total";1.3
"3015 Skiptvet";"Immigrants";3.8
"3016 Rakkestad";"Total";2.8
"3016 Rakkestad";"Immigrants";9.4
"3017 R?de";"Total";2.3
"3017 R?de";"Immigrants";7.6
"3018 V?ler (Viken)";"Total";2.4
"3018 V?ler (Viken)";"Immigrants";5.2
"3019 Vestby";"Total";2.1
"3019 Vestby";"Immigrants";4.2
"3020 Nordre Follo";"Total";2.6
"3020 Nordre Follo";"Immigrants";5.8
"3021 ?s";"Total";2.5
"3021 ?s";"Immigrants";5.2
"3022 Frogn";"Total";2.2
"3022 Frogn";"Immigrants";4.9
"3023 Nesodden";"Total";2.5
"3023 Nesodden";"Immigrants";4.8
"3024 B?rum";"Total";2.7
"3024 B?rum";"Immigrants";5.8
"3025 Asker";"Total";2.6
"3025 Asker";"Immigrants";5.8
"3026 Aurskog-H?land";"Total";2.3
"3026 Aurskog-H?land";"Immigrants";6.6
"3027 R?lingen";"Total";3.2
"3027 R?lingen";"Immigrants";6.7
"3028 Enebakk";"Total";2.9
"3028 Enebakk";"Immigrants";5.7
"3029 L?renskog";"Total";3.5
"3029 L?renskog";"Immigrants";6.8
"3030 Lillestr?m";"Total";3.3
"3030 Lillestr?m";"Immigrants";7.0
"3031 Nittedal";"Total";2.3
"3031 Nittedal";"Immigrants";5.2
"3032 Gjerdrum";"Total";2.7
"3032 Gjerdrum";"Immigrants";6.2
"3033 Ullensaker";"Total";5.9
"3033 Ullensaker";"Immigrants";12.4
"3034 Nes";"Total";2.8
"3034 Nes";"Immigrants";7.3
"3035 Eidsvoll";"Total";4.0
"3035 Eidsvoll";"Immigrants";9.9
"3036 Nannestad";"Total";5.0
"3036 Nannestad";"Immigrants";10.7
"3037 Hurdal";"Total";3.9
"3037 Hurdal";"Immigrants";9.2
"3038 Hole";"Total";2.2
"3038 Hole";"Immigrants";4.8
"3039 Fl?";"Total";1.2
