"region";"age";"industry (SIC2007)";"working hours";"Employees by place of residence 2019";"Employees by place of work 2019"
"K-3001 Halden";"15-74 years";"00-99 All industries";"Part-time";3919;3559
"K-3001 Halden";"15-74 years";"00-99 All industries";"Full-time";9037;8358
"K-3001 Halden";"15-74 years";"05-09 Mining and quarrying";"Part-time";7;3
"K-3001 Halden";"15-74 years";"05-09 Mining and quarrying";"Full-time";47;7
"K-3001 Halden";"15-74 years";"41-43 Construction";"Part-time";113;94
"K-3001 Halden";"15-74 years";"41-43 Construction";"Full-time";991;838
"K-3001 Halden";"20-66 years";"00-99 All industries";"Part-time";3457;3105
"K-3001 Halden";"20-66 years";"00-99 All industries";"Full-time";8753;8071
"K-3001 Halden";"20-66 years";"05-09 Mining and quarrying";"Part-time";6;3
"K-3001 Halden";"20-66 years";"05-09 Mining and quarrying";"Full-time";47;7
"K-3001 Halden";"20-66 years";"41-43 Construction";"Part-time";90;76
"K-3001 Halden";"20-66 years";"41-43 Construction";"Full-time";942;790
"K-3002 Moss";"15-74 years";"00-99 All industries";"Part-time";6223;5954
"K-3002 Moss";"15-74 years";"00-99 All industries";"Full-time";15424;12856
"K-3002 Moss";"15-74 years";"05-09 Mining and quarrying";"Part-time";6;3
"K-3002 Moss";"15-74 years";"05-09 Mining and quarrying";"Full-time";74;28
"K-3002 Moss";"15-74 years";"41-43 Construction";"Part-time";185;143
"K-3002 Moss";"15-74 years";"41-43 Construction";"Full-time";1451;1234
"K-3002 Moss";"20-66 years";"00-99 All industries";"Part-time";5293;5018
"K-3002 Moss";"20-66 years";"00-99 All industries";"Full-time";14886;12375
"K-3002 Moss";"20-66 years";"05-09 Mining and quarrying";"Part-time";0;3
"K-3002 Moss";"20-66 years";"05-09 Mining and quarrying";"Full-time";74;27
"K-3002 Moss";"20-66 years";"41-43 Construction";"Part-time";146;112
"K-3002 Moss";"20-66 years";"41-43 Construction";"Full-time";1381;1184
"K-3003 Sarpsborg";"15-74 years";"00-99 All industries";"Part-time";7171;8500
"K-3003 Sarpsborg";"15-74 years";"00-99 All industries";"Full-time";17163;18698
"K-3003 Sarpsborg";"15-74 years";"05-09 Mining and quarrying";"Part-time";6;6
"K-3003 Sarpsborg";"15-74 years";"05-09 Mining and quarrying";"Full-time";74;24
"K-3003 Sarpsborg";"15-74 years";"41-43 Construction";"Part-time";283;324
"K-3003 Sarpsborg";"15-74 years";"41-43 Construction";"Full-time";2331;2415
"K-3003 Sarpsborg";"20-66 years";"00-99 All industries";"Part-time";6174;7471
"K-3003 Sarpsborg";"20-66 years";"00-99 All industries";"Full-time";16625;18103
"K-3003 Sarpsborg";"20-66 years";"05-09 Mining and quarrying";"Part-time";5;5
"K-3003 Sarpsborg";"20-66 years";"05-09 Mining and quarrying";"Full-time";73;23
"K-3003 Sarpsborg";"20-66 years";"41-43 Construction";"Part-time";232;264
"K-3003 Sarpsborg";"20-66 years";"41-43 Construction";"Full-time";2230;2288
"K-3004 Fredrikstad";"15-74 years";"00-99 All industries";"Part-time";10767;8922
"K-3004 Fredrikstad";"15-74 years";"00-99 All industries";"Full-time";25556;21619
"K-3004 Fredrikstad";"15-74 years";"05-09 Mining and quarrying";"Part-time";5;3
"K-3004 Fredrikstad";"15-74 years";"05-09 Mining and quarrying";"Full-time";112;6
"K-3004 Fredrikstad";"15-74 years";"41-43 Construction";"Part-time";414;363
"K-3004 Fredrikstad";"15-74 years";"41-43 Construction";"Full-time";2968;2762
"K-3004 Fredrikstad";"20-66 years";"00-99 All industries";"Part-time";9278;7559
"K-3004 Fredrikstad";"20-66 years";"00-99 All industries";"Full-time";24685;20860
"K-3004 Fredrikstad";"20-66 years";"05-09 Mining and quarrying";"Part-time";4;0
"K-3004 Fredrikstad";"20-66 years";"05-09 Mining and quarrying";"Full-time";110;5
"K-3004 Fredrikstad";"20-66 years";"41-43 Construction";"Part-time";340;297
"K-3004 Fredrikstad";"20-66 years";"41-43 Construction";"Full-time";2822;2634
"K-3005 Drammen";"15-74 years";"00-99 All industries";"Part-time";12812;12401
"K-3005 Drammen";"15-74 years";"00-99 All industries";"Full-time";34542;31508
"K-3005 Drammen";"15-74 years";"05-09 Mining and quarrying";"Part-time";7;0
"K-3005 Drammen";"15-74 years";"05-09 Mining and quarrying";"Full-time";181;17
"K-3005 Drammen";"15-74 years";"41-43 Construction";"Part-time";376;388
"K-3005 Drammen";"15-74 years";"41-43 Construction";"Full-time";3879;4134
"K-3005 Drammen";"20-66 years";"00-99 All industries";"Part-time";11082;10668
