;Covid-19, Alstahaug;Covid-19, Alta;Covid-19, Alvdal;Covid-19, Alver;Covid-19, Andøy;Covid-19, Aremark;Covid-19, Arendal;Covid-19, Asker;Covid-19, Askvoll;Covid-19, Askøy;Covid-19, Aukra;Covid-19, Aure;Covid-19, Aurland;Covid-19, Aurskog-Høland;Covid-19, Austevoll;Covid-19, Austrheim;Covid-19, Averøy;Covid-19, Balsfjord;Covid-19, Bamble;Covid-19, Bardu;Covid-19, Beiarn;Covid-19, Bergen;Covid-19, Berlevåg;Covid-19, Bindal;Covid-19, Birkenes;Covid-19, Bjerkreim;Covid-19, Bjørnafjorden;Covid-19, Bodø;Covid-19, Bokn;Covid-19, Bremanger;Covid-19, Brønnøy;Covid-19, Bygland;Covid-19, Bykle;Covid-19, Bærum;Covid-19, Bø;Covid-19, Bømlo;Covid-19, Båtsfjord;Covid-19, Deatnu Tana;Covid-19, Deatnu-Tana;Covid-19, Dovre;Covid-19, Drammen;Covid-19, Drangedal;Covid-19, Dyrøy;Covid-19, Dønna;Covid-19, Eidfjord;Covid-19, Eidskog;Covid-19, Eidsvoll;Covid-19, Eigersund;Covid-19, Elverum;Covid-19, Enebakk;Covid-19, Engerdal;Covid-19, Etne;Covid-19, Etnedal;Covid-19, Evenes;Covid-19, Evje og Hornnes;Covid-19, Farsund;Covid-19, Fauske;Covid-19, Fedje;Covid-19, Fitjar;Covid-19, Fjaler;Covid-19, Fjord;Covid-19, Flakstad;Covid-19, Flatanger;Covid-19, Flekkefjord;Covid-19, Flesberg;Covid-19, Flå;Covid-19, Folldal;Covid-19, Fredrikstad;Covid-19, Frogn;Covid-19, Froland;Covid-19, Frosta;Covid-19, Frøya;Covid-19, Fyresdal;Covid-19, Færder;Covid-19, Gáivuotna - Kåfjord - Kaivuono;Covid-19, Gáivuotna Kåfjord;Covid-19, Gamvik;Covid-19, Gausdal;Covid-19, Gildeskål;Covid-19, Giske;Covid-19, Gjemnes;Covid-19, Gjerdrum;Covid-19, Gjerstad;Covid-19, Gjesdal;Covid-19, Gjøvik;Covid-19, Gloppen;Covid-19, Gol;Covid-19, Gran;Covid-19, Grane;Covid-19, Gratangen;Covid-19, Grimstad;Covid-19, Grong;Covid-19, Grue;Covid-19, Gulen;Covid-19, Guovdageaidnu Kautokeino;Covid-19, Guovdageaidnu-Kautokeino;Covid-19, Hadsel;Covid-19, Halden;Covid-19, Hamar;Covid-19, Hamarøy;Covid-19, Hammerfest;Covid-19, Hareid;Covid-19, Harstad;Covid-19, Hasvik;Covid-19, Hattfjelldal;Covid-19, Haugesund;Covid-19, Heim;Covid-19, Hemnes;Covid-19, Hemsedal;Covid-19, Herøy;Covid-19, Hitra;Covid-19, Hjartdal;Covid-19, Hjelmeland;Covid-19, Hol;Covid-19, Hole;Covid-19, Holmestrand;Covid-19, Holtålen;Covid-19, Horten;Covid-19, Hurdal;Covid-19, Hustadvika;Covid-19, Hvaler;Covid-19, Hyllestad;Covid-19, Hægebostad;Covid-19, Høyanger;Covid-19, Høylandet;Covid-19, Hå;Covid-19, Ibestad;Covid-19, Ikke oppgitt;Covid-19, Inderøy;Covid-19, Indre Fosen;Covid-19, Indre Østfold;Covid-19, Iveland;Covid-19, Jevnaker;Covid-19, Kárájohka-Karasjok;Covid-19, Karasjohka Karasjok;Covid-19, Karlsøy;Covid-19, Karmøy;Covid-19, Kinn;Covid-19, Klepp;Covid-19, Kongsberg;Covid-19, Kongsvinger;Covid-19, Kragerø;Covid-19, Kristiansand;Covid-19, Kristiansund;Covid-19, Krødsherad;Covid-19, Kvam;Covid-19, Kvinesdal;Covid-19, Kvinnherad;Covid-19, Kviteseid;Covid-19, Kvitsøy;Covid-19, Kvæfjord;Covid-19, Kvænangen;Covid-19, Larvik;Covid-19, Lavangen;Covid-19, Lebesby;Covid-19, Leirfjord;Covid-19, Leka;Covid-19, Lesja;Covid-19, Levanger;Covid-19, Lier;Covid-19, Lierne;Covid-19, Lillehammer;Covid-19, Lillesand;Covid-19, Lillestrøm;Covid-19, Lindesnes;Covid-19, Lom;Covid-19, Loppa;Covid-19, Lund;Covid-19, Lunner;Covid-19, Lurøy;Covid-19, Luster;Covid-19, Lyngdal;Covid-19, Lyngen;Covid-19, Lærdal;Covid-19, Lødingen;Covid-19, Lørenskog;Covid-19, Løten;Covid-19, Malvik;Covid-19, Marker;Covid-19, Masfjorden;Covid-19, Melhus;Covid-19, Meløy;Covid-19, Meråker;Covid-19, Midtre Gauldal;Covid-19, Midt-Telemark;Covid-19, Modalen;Covid-19, Modum;Covid-19, Molde;Covid-19, Moskenes;Covid-19, Moss;Covid-19, Målselv;Covid-19, Måsøy;Covid-19, Namsos;Covid-19, Namsskogan;Covid-19, Nannestad;Covid-19, Narvik;Covid-19, Nes;Covid-19, Nesbyen;Covid-19, Nesna;Covid-19, Nesodden;Covid-19, Nissedal;Covid-19, Nittedal;Covid-19, Nome;Covid-19, Nord-Aurdal;Covid-19, Nord-Fron;Covid-19, Nordkapp;Covid-19, Nord-Odal;Covid-19, Nordre Follo;Covid-19, Nordre Land;Covid-19, Nordreisa;Covid-19, Nore og Uvdal;Covid-19, Notodden;Covid-19, Nærøysund;Covid-19, Oppdal;Covid-19, Orkland;Covid-19, Os (Innlandet);Covid-19, Osen;Covid-19, Oslo (k);Covid-19, Osterøy;Covid-19, Overhalla;Covid-19, Porsanger - Porsá?gu - Porsanki ;Covid-19, Porsanger Porsángu Porsanki;Covid-19, Porsgrunn;Covid-19, Raarvihke Røyrvik;Covid-19, Rakkestad;Covid-19, Rana;Covid-19, Randaberg;Covid-19, Rauma;Covid-19, Rendalen;Covid-19, Rennebu;Covid-19, Rindal;Covid-19, Ringebu;Covid-19, Ringerike;Covid-19, Ringsaker;Covid-19, Risør;Covid-19, Rollag;Covid-19, Rælingen;Covid-19, Rødøy;Covid-19, Røros;Covid-19, Røst;Covid-19, Råde;Covid-19, Salangen;Covid-19, Saltdal;Covid-19, Samnanger;Covid-19, Sande;Covid-19, Sandefjord;Covid-19, Sandnes;Covid-19, Sarpsborg;Covid-19, Sauda;Covid-19, Sel;Covid-19, Selbu;Covid-19, Seljord;Covid-19, Senja;Covid-19, Sigdal;Covid-19, Siljan;Covid-19, Sirdal;Covid-19, Skaun;Covid-19, Skien;Covid-19, Skiptvet;Covid-19, Skjervøy;Covid-19, Skjåk;Covid-19, Smøla;Covid-19, Snåase - Snåsa;Covid-19, Snåase Snåsa;Covid-19, Sogndal;Covid-19, Sokndal;Covid-19, Sola;Covid-19, Solund;Covid-19, Sortland;Covid-19, Stad;Covid-19, Stange;Covid-19, Stavanger;Covid-19, Steigen;Covid-19, Steinkjer;Covid-19, Stjørdal;Covid-19, Stord;Covid-19, Stor-Elvdal;Covid-19, Storfjord;Covid-19, Strand;Covid-19, Stranda;Covid-19, Stryn;Covid-19, Sula;Covid-19, Suldal;Covid-19, Sunndal;Covid-19, Sunnfjord;Covid-19, Surnadal;Covid-19, Svalbard;Covid-19, Sveio;Covid-19, Sykkylven;Covid-19, Sømna;Covid-19, Søndre Land;Covid-19, Sør-Aurdal;Covid-19, Sørfold;Covid-19, Sør-Fron;Covid-19, Sør-Odal;Covid-19, Sørreisa;Covid-19, Sør-Varanger;Covid-19, Time;Covid-19, Tingvoll;Covid-19, Tinn;Covid-19, Tjeldsund;Covid-19, Tokke;Covid-19, Tolga;Covid-19, Tromsø;Covid-19, Trondheim;Covid-19, Trysil;Covid-19, Træna;Covid-19, Tvedestrand;Covid-19, Tydal;Covid-19, Tynset;Covid-19, Tysfjord *;Covid-19, Tysnes;Covid-19, Tysvær;Covid-19, Tønsberg;Covid-19, Ullensaker;Covid-19, Ullensvang;Covid-19, Ulstein;Covid-19, Ulvik;Covid-19, Unjárga-Nesseby;Covid-19, Unjargga Nesseby;Covid-19, Utsira;Covid-19, Vadsø;Covid-19, Vaksdal;Covid-19, Valle;Covid-19, Vang;Covid-19, Vanylven;Covid-19, Vardø;Covid-19, Vefsn;Covid-19, Vega;Covid-19, Vegårshei;Covid-19, Vennesla;Covid-19, Verdal;Covid-19, Vestby;Covid-19, Vestnes;Covid-19, Vestre Slidre;Covid-19, Vestre Toten;Covid-19, Vestvågøy;Covid-19, Vevelstad;Covid-19, Vik;Covid-19, Vindafjord;Covid-19, Vinje;Covid-19, Volda;Covid-19, Voss;Covid-19, Værøy;Covid-19, Vågan;Covid-19, Vågå;Covid-19, Våler (Innlandet);Covid-19, Våler (Viken);Covid-19, Øksnes;Covid-19, Ørland;Covid-19, Ørsta;Covid-19, Østre Toten;Covid-19, Øvre Eiker;Covid-19, Øyer;Covid-19, Øygarden;Covid-19, Øystre Slidre;Covid-19, Åfjord;Covid-19, Ål;Covid-19, Ålesund;Covid-19, Åmli;Covid-19, Åmot;Covid-19, Årdal;Covid-19, Ås;Covid-19, Åseral;Covid-19, Åsnes
27.12.2020;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
28.12.2020;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;22;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;144;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;264;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;52;0;0;0;0;0;0;0;0;0;0;0;0;0;18;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;75;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
29.12.2020;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;385;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;126;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;118;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;124;0;0;0;0;0;0;0;0;0;0;0;0;0;303;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
30.12.2020;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;161;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;58;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;116;0;0;0;0;0;0;0;0;0;0;0;0;0;54;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
31.12.2020;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;63;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01.01.2021;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
02.01.2021;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
03.01.2021;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
04.01.2021;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
05.01.2021;0;0;0;57;0;5;0;0;24;0;0;0;0;0;0;0;0;0;6;0;6;249;0;0;0;12;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13;13;0;0;0;0;0;0;0;0;0;12;0;0;8;0;0;13;0;0;0;0;0;0;22;12;6;0;0;0;25;0;0;0;49;0;0;0;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;5;12;18;0;0;12;0;0;0;0;0;0;0;0;13;14;0;0;0;50;0;0;0;0;0;0;0;13;0;0;0;0;0;0;0;21;0;0;5;0;0;125;0;0;0;0;0;0;60;0;25;0;0;0;0;0;0;0;0;0;37;0;0;0;0;0;0;0;0;64;32;0;0;0;0;0;0;0;85;21;0;0;0;0;65;0;14;0;0;0;0;0;0;0;0;0;149;0;0;0;0;0;0;0;0;0;482;0;0;0;0;79;0;0;66;0;0;0;0;0;23;0;0;0;0;0;0;29;6;33;0;0;0;0;0;143;36;0;23;0;0;12;0;0;0;0;0;0;0;0;0;0;0;0;12;34;0;0;0;0;238;0;89;0;0;13;0;0;24;0;0;0;0;65;0;0;0;13;0;0;0;0;18;0;0;0;40;0;0;5;0;6;0;167;0;0;0;0;0;0;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;28;0;23;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;45;0;13;0;0;0;0;120;0;23;0;33;0;0
