Entity,Code,Day,people_fully_vaccinated_per_hundred
Afghanistan,AFG,2021-05-11,0.14
Afghanistan,AFG,2021-05-20,0.2
Afghanistan,AFG,2021-05-24,0.25
Afghanistan,AFG,2021-05-26,0.29
Africa,,2021-02-03,0
Africa,,2021-02-04,0
Africa,,2021-02-05,0
Africa,,2021-02-06,0
Africa,,2021-02-08,0
Africa,,2021-02-09,0
Africa,,2021-02-10,0
Africa,,2021-02-11,0
Africa,,2021-02-12,0
Africa,,2021-02-13,0
Africa,,2021-02-15,0
Africa,,2021-02-16,0
Africa,,2021-02-17,0
Africa,,2021-02-18,0
Africa,,2021-02-19,0
Africa,,2021-02-20,0
Africa,,2021-02-21,0
Africa,,2021-02-22,0.01
Africa,,2021-02-23,0.01
Africa,,2021-02-24,0.01
Africa,,2021-02-25,0.01
Africa,,2021-02-26,0.01
Africa,,2021-02-27,0.02
Africa,,2021-02-28,0.02
Africa,,2021-03-01,0.02
Africa,,2021-03-02,0.03
Africa,,2021-03-03,0.03
Africa,,2021-03-04,0.04
Africa,,2021-03-05,0.05
Africa,,2021-03-06,0.05
Africa,,2021-03-07,0.05
Africa,,2021-03-08,0.06
Africa,,2021-03-09,0.06
Africa,,2021-03-10,0.08
Africa,,2021-03-11,0.08
Africa,,2021-03-12,0.1
Africa,,2021-03-13,0.12
Africa,,2021-03-14,0.12
Africa,,2021-03-15,0.14
Africa,,2021-03-16,0.16
Africa,,2021-03-17,0.17
Africa,,2021-03-18,0.17
Africa,,2021-03-19,0.19
Africa,,2021-03-20,0.2
Africa,,2021-03-21,0.2
Africa,,2021-03-22,0.2
Africa,,2021-03-23,0.21
Africa,,2021-03-24,0.23
Africa,,2021-03-25,0.25
Africa,,2021-03-26,0.26
Africa,,2021-03-27,0.27
Africa,,2021-03-28,0.27
Africa,,2021-03-29,0.28
Africa,,2021-03-30,0.29
Africa,,2021-03-31,0.3
Africa,,2021-04-01,0.31
Africa,,2021-04-02,0.31
Africa,,2021-04-03,0.32
Africa,,2021-04-04,0.32
Africa,,2021-04-05,0.32
Africa,,2021-04-06,0.32
Africa,,2021-04-07,0.33
Africa,,2021-04-08,0.33
Africa,,2021-04-09,0.33
Africa,,2021-04-10,0.34
Africa,,2021-04-11,0.34
Africa,,2021-04-12,0.34
Africa,,2021-04-13,0.34
Africa,,2021-04-14,0.34
Africa,,2021-04-15,0.34
Africa,,2021-04-16,0.34
Africa,,2021-04-17,0.34
Africa,,2021-04-18,0.35
Africa,,2021-04-19,0.35
Africa,,2021-04-20,0.35
Africa,,2021-04-21,0.35
Africa,,2021-04-22,0.35
Africa,,2021-04-23,0.35
Africa,,2021-04-24,0.35
Africa,,2021-04-25,0.35
Africa,,2021-04-26,0.35
Africa,,2021-04-27,0.36
Africa,,2021-04-28,0.36
Africa,,2021-04-29,0.36
Africa,,2021-04-30,0.36
Africa,,2021-05-01,0.37
Africa,,2021-05-02,0.37
Africa,,2021-05-03,0.37
Africa,,2021-05-04,0.38
Africa,,2021-05-05,0.38
Africa,,2021-05-06,0.38
Africa,,2021-05-07,0.39
Africa,,2021-05-08,0.39
Africa,,2021-05-09,0.42
Africa,,2021-05-10,0.42
Africa,,2021-05-11,0.42
Africa,,2021-05-12,0.44
Africa,,2021-05-13,0.44
Africa,,2021-05-14,0.44
Africa,,2021-05-15,0.45
Africa,,2021-05-16,0.45
Africa,,2021-05-17,0.45
Africa,,2021-05-18,0.47
Africa,,2021-05-19,0.47
Africa,,2021-05-20,0.48
Africa,,2021-05-21,0.5
Africa,,2021-05-22,0.51
Africa,,2021-05-23,0.51
Africa,,2021-05-24,0.52
Africa,,2021-05-25,0.53
Africa,,2021-05-26,0.54
Africa,,2021-05-27,0.54
Africa,,2021-05-28,0.56
Albania,ALB,2021-02-02,0
Albania,ALB,2021-02-09,0.02
Albania,ALB,2021-02-17,0.02
Albania,ALB,2021-02-18,0.02
Albania,ALB,2021-02-22,0.02
Albania,ALB,2021-05-11,6.31
Albania,ALB,2021-05-12,6.53
Albania,ALB,2021-05-13,6.7
Albania,ALB,2021-05-14,7.12
Albania,ALB,2021-05-17,7.75
Albania,ALB,2021-05-18,7.95
Albania,ALB,2021-05-19,8.15
Albania,ALB,2021-05-20,8.26
Albania,ALB,2021-05-21,8.33
