CNTR_CODE,Date,Country,continent,total_cases,new_cases,retail_and_recreation,grocery_and_pharmacy,residential,transit_stations,parks,workplaces,testing_policy,contact_tracing,stringency_index,vaccination_policy,facial_coverings,income_support,restrictions_internal_movements,international_travel_controls,public_information_campaigns,cancel_public_events,restriction_gatherings,close_public_transport,school_closures,people_fully_vaccinated_per_hundred,people_vaccinated_per_hundred,stay_home_requirements,workplace_closures,population,expected,id_date_1,id_date_2,id_country_1,id_country_2,id_date_area
NO,2020-02-05,Norway,Europe,0,0,0.8248489796876566,-0.01805502011768782,-1.1579603231537139,1.7538335627587487,-0.8232650344381006,1.4366539697131882,No testing policy,No tracing,-1.7552895628349097,None,No policy,No income support,No measures,No measures,Coordinated information campaign,No measures,No restrictions,No measures,No measures,-0.4439650340170347,-0.4407299836131181,No measures,No measures,5367580,238.64426877470356,34,34,23,23,11166
NO,2020-02-06,Norway,Europe,0,0,0.8248489796876566,-0.01805502011768782,-1.1579603231537139,1.7538335627587487,-0.8232650344381006,1.4366539697131882,No testing policy,No tracing,-1.7552895628349097,None,No policy,No income support,No measures,No measures,Coordinated information campaign,No measures,No restrictions,No measures,No measures,-0.4439650340170347,-0.4407299836131181,No measures,No measures,5367580,238.64426877470356,35,35,23,23,11167
NO,2020-02-07,Norway,Europe,0,0,0.8248489796876566,-0.01805502011768782,-1.1579603231537139,1.7538335627587487,-0.8232650344381006,1.4366539697131882,No testing policy,No tracing,-1.7552895628349097,None,No policy,No income support,No measures,No measures,Coordinated information campaign,No measures,No restrictions,No measures,No measures,-0.4439650340170347,-0.4407299836131181,No measures,No measures,5367580,238.64426877470356,36,36,23,23,11168
NO,2020-02-08,Norway,Europe,0,0,0.8248489796876566,-0.01805502011768782,-1.1579603231537139,1.7538335627587487,-0.8232650344381006,1.4366539697131882,No testing policy,No tracing,-1.7552895628349097,None,No policy,No income support,No measures,No measures,Coordinated information campaign,No measures,No restrictions,No measures,No measures,-0.4439650340170347,-0.4407299836131181,No measures,No measures,5367580,238.64426877470356,37,37,23,23,11169
NO,2020-02-09,Norway,Europe,0,0,0.8248489796876566,-0.01805502011768782,-1.1579603231537139,1.7538335627587487,-0.8232650344381006,1.4366539697131882,No testing policy,No tracing,-1.7552895628349097,None,No policy,No income support,No measures,No measures,Coordinated information campaign,No measures,No restrictions,No measures,No measures,-0.4439650340170347,-0.4407299836131181,No measures,No measures,5367580,238.64426877470356,38,38,23,23,11170
NO,2020-02-10,Norway,Europe,0,0,0.8248489796876566,-0.01805502011768782,-1.1579603231537139,1.7538335627587487,-0.8232650344381006,1.4366539697131882,No testing policy,No tracing,-1.7552895628349097,None,No policy,No income support,No measures,No measures,Coordinated information campaign,No measures,No restrictions,No measures,No measures,-0.4439650340170347,-0.4407299836131181,No measures,No measures,5367580,238.64426877470356,39,39,23,23,11171
NO,2020-02-11,Norway,Europe,0,0,0.8248489796876566,-0.01805502011768782,-1.1579603231537139,1.7538335627587487,-0.8232650344381006,1.4366539697131882,No testing policy,No tracing,-1.7552895628349097,None,No policy,No income support,No measures,No measures,Coordinated information campaign,No measures,No restrictions,No measures,No measures,-0.4439650340170347,-0.4407299836131181,No measures,No measures,5367580,238.64426877470356,40,40,23,23,11172
NO,2020-02-12,Norway,Europe,0,0,0.8248489796876566,-0.01805502011768782,-1.1579603231537139,1.7538335627587487,-0.8232650344381006,1.4366539697131882,No testing policy,No tracing,-1.7552895628349097,None,No policy,No income support,No measures,No measures,Coordinated information campaign,No measures,No restrictions,No measures,No measures,-0.4439650340170347,-0.4407299836131181,No measures,No measures,5367580,238.64426877470356,41,41,23,23,11173
NO,2020-02-13,Norway,Europe,0,0,0.8248489796876566,-0.01805502011768782,-1.1579603231537139,1.7538335627587487,-0.8232650344381006,1.4366539697131882,No testing policy,No tracing,-1.7552895628349097,None,No policy,No income support,No measures,No measures,Coordinated information campaign,No measures,No restrictions,No measures,No measures,-0.4439650340170347,-0.4407299836131181,No measures,No measures,5367580,238.64426877470356,42,42,23,23,11174
NO,2020-02-14,Norway,Europe,0,0,0.8248489796876566,-0.01805502011768782,-1.1579603231537139,1.7538335627587487,-0.8232650344381006,1.4366539697131882,No testing policy,No tracing,-1.7552895628349097,None,No policy,No income support,No measures,No measures,Coordinated information campaign,No measures,No restrictions,No measures,No measures,-0.4439650340170347,-0.4407299836131181,No measures,No measures,5367580,238.64426877470356,43,43,23,23,11175
NO,2020-02-15,Norway,Europe,0,0,0.8248489796876566,-0.01805502011768782,-1.1579603231537139,1.7538335627587487,-0.8232650344381006,1.4366539697131882,No testing policy,No tracing,-1.7552895628349097,None,No policy,No income support,No measures,No measures,Coordinated information campaign,No measures,No restrictions,No measures,No measures,-0.4439650340170347,-0.4407299836131181,No measures,No measures,5367580,238.64426877470356,44,44,23,23,11176
NO,2020-02-16,Norway,Europe,0,0,0.8248489796876566,-0.01805502011768782,-1.1579603231537139,1.7538335627587487,-0.8232650344381006,1.4366539697131882,No testing policy,No tracing,-1.7552895628349097,None,No policy,No income support,No measures,No measures,Coordinated information campaign,No measures,No restrictions,No measures,No measures,-0.4439650340170347,-0.4407299836131181,No measures,No measures,5367580,238.64426877470356,45,45,23,23,11177
NO,2020-02-17,Norway,Europe,0,0,0.8248489796876566,-0.01805502011768782,-1.1579603231537139,1.7538335627587487,-0.8232650344381006,1.4366539697131882,No testing policy,No tracing,-1.7552895628349097,None,No policy,No income support,No measures,No measures,Coordinated information campaign,No measures,No restrictions,No measures,No measures,-0.4439650340170347,-0.4407299836131181,No measures,No measures,5367580,238.64426877470356,46,46,23,23,11178
NO,2020-02-18,Norway,Europe,0,0,0.8840983987403125,-0.07686835946550502,-1.1403705604368177,1.6945713856748255,-0.767334455820094,1.3292631562196713,No testing policy,No tracing,-1.7552895628349097,None,No policy,No income support,No measures,No measures,Coordinated information campaign,No measures,No restrictions,No measures,No measures,-0.4439650340170347,-0.4407299836131181,No measures,No measures,5367580,238.64426877470356,47,47,23,23,11179
NO,2020-02-19,Norway,Europe,0,0,0.9584024684355735,-0.011296025715794597,-1.1721592882384373,1.70642382109161,-0.6196629611190861,1.2496863360586317,No testing policy,No tracing,-1.7552895628349097,None,No policy,No income support,No measures,No measures,Coordinated information campaign,No measures,No restrictions,No measures,No measures,-0.4439650340170347,-0.4407299836131181,No measures,No measures,5367580,238.64426877470356,48,48,23,23,11180
NO,2020-02-20,Norway,Europe,0,0,0.9325575746285262,-0.0684952768482343,-1.1227807977199218,1.6353092085909022,-0.6694517480256647,1.1713979025097234,No testing policy,No tracing,-1.7552895628349097,None,No policy,No income support,No measures,No measures,Coordinated information campaign,No measures,No restrictions,No measures,No measures,-0.4439650340170347,-0.4407299836131181,No measures,No measures,5367580,238.64426877470356,49,49,23,23,11181
NO,2020-02-21,Norway,Europe,0,0,0.9325575746285262,-0.09492597137504066,-1.087389347434119,1.6268347172679012,-0.6666493457966796,1.104629161022223,No testing policy,No tracing,-1.7552895628349097,None,No policy,No income support,No measures,No measures,Coordinated information campaign,No measures,No restrictions,No measures,No measures,-0.4439650340170347,-0.4407299836131181,No measures,No measures,5367580,238.64426877470356,50,50,23,23,11182
NO,2020-02-22,Norway,Europe,0,0,0.8956639887189661,-0.12367691771145216,-1.0570840935965753,1.58452152282998,-0.7074100345044919,1.0721163459278553,No testing policy,No tracing,-1.7552895628349097,None,No policy,No income support,No measures,No measures,Coordinated information campaign,No measures,No restrictions,No measures,No measures,-0.4439650340170347,-0.4407299836131181,No measures,No measures,5367580,238.64426877470356,51,51,23,23,11183
NO,2020-02-23,Norway,Europe,0,0,0.9325575746285262,-0.03722231767529548,-1.1479998551092063,1.6860968943518244,-0.6258886570888673,1.0829539509593111,No testing policy,No tracing,-1.7552895628349097,None,No policy,No income support,No measures,No measures,Coordinated information campaign,No measures,No restrictions,No measures,No measures,-0.4439650340170347,-0.4407299836131181,No measures,No measures,5367580,238.64426877470356,52,52,23,23,11184
